200
137	155	227;	1	1	1	1	3
134	163	205;	0	0	1	3	3
118	165	280;	0	0	0	3	2
197	165	270;	6	2	8	4	18
22	166	242;	0	0	1	0	1
42	166	200;	0	0	1	1	1
52	167	205;	0	2	0	0	2
16	168	347;	1	0	0	0	1
88	168	321;	0	1	0	1	2
155	168	287;	3	0	1	0	3
156	168	220;	1	2	1	0	2
192	168	291;	4	5	3	4	13
48	169	258;	0	0	0	2	2
70	169	215;	1	1	0	0	0
170	169	333;	2	2	0	0	4
173	169	278;	7	5	4	3	16
184	169	229;	0	3	2	7	15
2	170	310;	0	0	0	1	0
17	170	209;	1	0	0	0	0
60	170	228;	0	0	2	0	2
150	170	324;	1	1	0	2	3
180	170	317;	2	5	0	3	10
189	170	346;	1	1	3	1	3
191	170	260;	2	6	4	5	10
64	171	289;	1	0	0	1	2
84	171	342;	0	1	0	1	2
97	171	331;	0	0	1	1	0
163	171	210;	0	2	1	1	3
24	172	277;	0	0	0	1	1
43	172	284;	1	0	1	0	2
78	172	224;	2	0	0	0	2
102	172	221;	1	0	1	0	2
140	172	264;	1	1	1	1	3
158	172	252;	1	1	1	1	3
166	172	269;	1	1	2	0	4
172	172	284;	2	4	2	2	7
35	173	346;	0	0	1	0	1
50	173	240;	1	1	0	0	0
62	173	317;	1	1	0	0	3
92	173	246;	0	1	0	1	0
153	173	295;	3	1	0	0	4
161	173	349;	0	2	1	1	2
19	174	236;	0	1	0	0	0
55	174	349;	0	0	1	1	2
85	174	221;	1	0	1	0	0
100	174	253;	0	0	1	1	1
194	174	267;	2	3	0	2	5
39	175	233;	0	1	0	0	1
44	175	255;	1	0	0	1	1
101	175	254;	0	1	1	0	0
114	175	301;	2	1	0	0	2
138	175	221;	3	1	0	0	2
186	175	301;	3	4	3	7	11
37	176	281;	0	0	0	1	0
38	176	253;	0	1	0	0	0
61	176	335;	0	0	1	1	2
77	176	225;	0	1	1	0	2
111	176	224;	0	0	1	2	2
112	176	227;	2	0	1	0	2
119	176	316;	1	1	0	1	2
126	176	346;	1	2	0	0	2
139	176	333;	0	1	2	1	2
143	176	272;	1	1	2	0	4
145	176	209;	2	0	1	1	3
146	176	351;	3	1	0	0	2
160	176	348;	0	1	2	1	3
169	176	229;	0	0	2	2	4
174	176	284;	3	1	4	6	5
187	176	282;	1	2	5	0	3
196	176	282;	3	2	1	3	6
198	176	214;	2	1	1	1	3
28	177	236;	0	0	0	1	1
71	177	340;	0	0	1	1	1
89	177	248;	1	0	1	0	1
147	177	228;	1	1	1	1	2
23	178	222;	0	0	0	1	0
31	178	224;	0	0	1	0	1
76	178	316;	2	0	0	0	2
91	178	303;	0	0	1	1	1
94	178	264;	0	1	1	0	2
103	178	338;	0	1	0	1	2
107	178	240;	0	1	0	1	1
116	178	323;	1	1	0	1	3
124	178	262;	1	0	2	0	1
136	178	319;	3	0	1	0	3
142	178	333;	2	0	2	0	4
159	178	254;	0	1	3	0	3
45	179	332;	0	0	1	1	2
59	179	216;	1	1	0	0	1
80	179	233;	0	0	0	2	2
82	179	223;	0	1	1	0	2
110	179	237;	0	1	1	0	1
131	179	209;	1	1	1	1	3
151	179	324;	3	0	1	0	5
162	179	212;	0	1	2	1	3
165	179	343;	1	2	0	1	1
181	179	227;	2	3	2	0	7
182	179	301;	3	1	5	6	8
185	179	248;	4	4	3	9	11
49	180	353;	0	1	1	0	1
54	180	308;	1	1	0	0	1
66	180	253;	0	1	1	0	2
69	180	214;	1	0	0	1	2
95	180	358;	1	1	0	0	2
106	180	326;	0	0	2	0	1
132	180	320;	1	1	0	2	3
141	180	291;	1	1	1	1	3
149	180	222;	2	0	2	0	4
152	180	294;	1	2	1	0	4
154	180	241;	1	1	0	2	3
157	180	322;	1	3	0	0	5
168	180	288;	0	0	2	2	4
175	180	314;	2	3	6	7	11
18	181	283;	0	0	1	0	0
27	181	357;	1	0	0	0	0
33	181	343;	0	1	0	0	1
41	181	326;	0	1	1	0	1
75	181	291;	0	0	0	2	2
81	181	248;	1	1	0	0	1
83	181	282;	1	0	0	1	2
96	181	239;	0	1	1	0	2
122	181	273;	1	0	0	2	0
5	182	225;	0	0	1	0	1
12	182	222;	0	1	0	0	1
25	182	228;	0	0	0	1	1
26	182	338;	0	0	1	0	1
47	182	343;	1	0	1	0	2
104	182	216;	1	1	0	0	1
113	182	268;	1	1	1	0	3
129	182	269;	0	1	2	0	2
135	182	279;	2	1	1	0	5
8	183	314;	1	0	0	0	1
14	183	235;	1	0	0	0	1
46	183	358;	0	1	1	0	1
72	183	330;	1	0	1	0	1
93	183	289;	1	0	1	0	1
121	183	246;	1	1	0	1	2
128	183	300;	1	1	0	1	1
148	183	346;	3	0	0	1	3
190	183	249;	3	2	3	0	6
4	184	239;	1	0	0	0	1
15	184	243;	0	0	1	0	1
36	184	301;	0	0	1	0	0
56	184	327;	0	0	0	2	1
57	184	300;	0	1	0	1	1
87	184	254;	2	0	0	0	1
164	184	247;	1	0	1	2	3
200	184	357;	1	5	2	3	7
1	185	305;	0	1	0	0	0
105	185	337;	1	1	0	0	1
127	185	238;	1	1	1	0	3
130	185	352;	1	1	0	1	2
133	185	301;	0	2	1	1	3
171	185	290;	5	1	1	3	5
195	185	272;	4	6	1	5	9
3	186	285;	1	0	0	0	0
6	186	303;	1	0	0	0	1
9	186	233;	1	0	0	0	1
20	186	283;	0	0	1	0	0
29	186	234;	0	1	0	0	1
40	186	280;	1	0	0	0	1
109	186	313;	1	0	1	0	1
144	186	298;	0	1	2	1	3
178	186	353;	3	1	4	5	12
30	187	297;	0	0	0	1	0
32	187	224;	0	1	0	0	1
53	187	299;	0	1	0	1	2
86	187	307;	1	0	1	0	3
115	187	281;	2	1	0	0	3
167	187	292;	2	0	1	1	1
51	188	287;	1	0	1	0	2
74	188	298;	1	0	1	0	2
98	188	340;	0	0	2	0	3
108	188	263;	1	0	1	0	2
63	189	308;	1	0	1	0	2
90	189	341;	1	0	1	0	2
21	190	352;	0	0	0	1	0
68	190	293;	1	0	0	1	2
73	190	356;	1	0	1	0	1
193	190	331;	3	2	0	3	6
7	191	336;	0	0	0	1	1
183	191	330;	3	1	2	1	6
188	191	343;	1	5	1	0	4
199	191	253;	3	3	3	3	6
10	192	223;	0	0	0	1	0
34	192	294;	0	0	0	1	0
125	192	262;	0	1	0	2	2
177	192	321;	0	2	0	3	2
11	193	228;	0	1	0	0	1
13	193	350;	0	1	0	0	1
123	193	226;	1	1	1	0	3
176	193	314;	3	5	5	5	13
79	194	270;	0	2	0	0	1
99	194	246;	0	1	1	0	2
58	195	242;	0	1	0	1	1
65	195	317;	0	1	1	0	1
117	196	271;	1	0	1	1	3
67	197	330;	0	1	1	0	2
120	197	314;	0	2	0	1	2
179	206	341;	4	3	2	5	4
